subbad,alfass,B,snr,odg,payload,ber0,ber1
2,0.007,8,20.52045436926,-3.88,689.0625,0.185302734375,0.185302734375
2,0.008,8,19.3606154297063,-3.89,689.0625,0.185302734375,0.185302734375
2,0.009,8,18.3375649807587,-3.89,689.0625,0.185791015625,0.185791015625
2,0.01,8,17.4224151695452,-3.9,689.0625,0.185302734375,0.185302734375
2,0.001,16,45.2952498715454,-1.02,172.265625,0.1904296875,0.1904296875
2,0.002,16,39.2746499582658,-2.31,172.265625,0.189453125,0.189453125
2,0.003,16,35.7528247771522,-2.99,172.265625,0.18896484375,0.18896484375
2,0.004,16,33.2540500449862,-3.33,172.265625,0.1875,0.1875
2,0.005,16,31.315849784825,-3.5,172.265625,0.187255859375,0.187255859375
2,0.006,16,29.7322248638726,-3.61,172.265625,0.18896484375,0.18896484375
2,0.007,16,28.3932890712603,-3.68,172.265625,0.18701171875,0.18701171875
2,0.008,16,27.2334501317065,-3.72,172.265625,0.18798828125,0.18798828125
2,0.009,16,26.2103996827589,-3.76,172.265625,0.19091796875,0.19091796875
2,0.01,16,25.2952498715454,-3.78,172.265625,0.186279296875,0.186279296875
2,0.001,32,52.5938223050979,-0.04,43.06640625,0.18798828125,0.18798828125
2,0.002,32,46.5732223918183,-0.35,43.06640625,0.186767578125,0.186767578125
2,0.003,32,43.0513972107046,-0.79,43.06640625,0.18701171875,0.18701171875
2,0.004,32,40.5526224785386,-1.25,43.06640625,0.18798828125,0.18798828125
2,0.005,32,38.6144222183775,-1.65,43.06640625,0.188232421875,0.188232421875
2,0.006,32,37.030797297425,-2.03,43.06640625,0.187744140625,0.187744140625
2,0.007,32,35.6918615048128,-2.29,43.06640625,0.1875,0.1875
2,0.008,32,34.532022565259,-2.53,43.06640625,0.18701171875,0.18701171875
2,0.009,32,33.5089721163114,-2.73,43.06640625,0.18798828125,0.18798828125
2,0.01,32,32.5938223050979,-2.87,43.06640625,0.1865234375,0.1865234375
3,0.001,2,26.0393283061715,-3.06,11025,1,1
3,0.002,2,20.0187283928919,-3.44,11025,1,1
3,0.003,2,16.4969032117778,-0.42,11025,1,1
3,0.001,4,31.9126430198615,-3.28,2756.25,0.9951171875,0.9951171875
3,0.002,4,25.8920431065818,-3.79,2756.25,0.99658203125,0.99658203125
3,0.003,4,22.3702179254682,-3.87,2756.25,0.881103515625,0.881103515625
3,0.004,4,19.8714431933022,-3.89,2756.25,1,1
3,0.005,4,17.9332429331411,-3.9,2756.25,0.8916015625,0.8916015625
3,0.006,4,16.3496180121886,-3.9,2756.25,1,1
3,0.007,4,15.0106822195763,-3.9,2756.25,1,1
3,0.001,6,34.6219327295233,-2.43,1225,1.00146484375,1.00146484375
3,0.002,6,28.6013328162437,-3.6,1225,1.00048828125,1.00048828125
3,0.003,6,25.07950763513,-3.8,1225,0.186767578125,0.186767578125
3,0.004,6,22.580732902964,-3.86,1225,0.185791015625,0.185791015625
3,0.005,6,20.6425326428029,-3.88,1225,1.01220703125,1.01220703125
3,0.006,6,19.0589077218504,-3.89,1225,0.18603515625,0.18603515625
3,0.007,6,17.7199719292381,-3.89,1225,1.003662109375,1.003662109375
3,0.008,6,16.5601329896844,-3.9,1225,0.186279296875,0.186279296875
3,0.009,6,15.5370825407368,-3.9,1225,0.997314453125,0.997314453125
3,0.001,8,37.4224151695452,-1.58,689.0625,0.531982421875,0.531982421875
